time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-19T11:16:30.079Z,0.2428,96.7214,10,4.9,mb,,136,1.356,0.68,us,us7000fvf6,2021-11-19T11:36:31.040Z,"250 km S of Sinabang, Indonesia",earthquake,6.7,1.9,0.074,57,reviewed,us,us
2021-11-19T08:14:16.787Z,-8.0845,122.6316,213.98,4.6,mb,,58,0.672,0.88,us,us7000fvea,2021-11-19T08:31:36.040Z,"75 km NE of Maumere, Indonesia",earthquake,7.3,7.3,0.122,20,reviewed,us,us
2021-11-19T04:26:27.808Z,29.9548,-113.8311,10,4.5,mb,,197,1.392,0.98,us,us7000fvcw,2021-11-19T05:04:49.040Z,"110 km W of La Libertad, Mexico",earthquake,8.2,2,0.097,34,reviewed,us,us
2021-11-18T21:31:35.782Z,5.2512,-82.5892,10,5.2,mww,,77,3.521,1.33,us,us7000fv9x,2021-11-18T23:02:10.040Z,"south of Panama",earthquake,6,1.5,0.042,54,reviewed,us,us
2021-11-18T20:59:43.018Z,-19.8113,-177.675,480,4.5,mb,,138,4.539,0.65,us,us7000fv9p,2021-11-18T21:55:41.040Z,"296 km WNW of Haveluloto, Tonga",earthquake,14.3,2,0.061,79,reviewed,us,us
2021-11-18T18:50:27.275Z,-10.9292,123.6803,10,4.6,mb,,107,1.301,1.22,us,us7000fv8q,2021-11-18T21:22:20.040Z,"84 km S of Kupang, Indonesia",earthquake,7.6,1.6,0.244,5,reviewed,us,us
2021-11-18T18:27:02.212Z,-7.5657,124.4049,414.89,4.5,mb,,69,2.179,0.61,us,us7000fv8i,2021-11-18T21:14:24.040Z,"145 km NW of Maubara, Timor Leste",earthquake,13.8,9,0.18,9,reviewed,us,us
2021-11-18T17:54:06.365Z,26.528,129.9969,10,5,mb,,72,1.308,0.87,us,us7000fv6a,2021-11-18T18:23:04.040Z,"200 km E of Nago, Japan",earthquake,6.3,1.9,0.048,137,reviewed,us,us
2021-11-18T17:26:54.878Z,13.672,-90.7314,68.33,4.7,mb,,128,1.246,0.86,us,us7000fv63,2021-11-18T18:16:43.641Z,"29 km S of Iztapa, Guatemala",earthquake,8,8.2,0.033,281,reviewed,us,us
2021-11-18T17:23:50.715Z,13.4333,-90.8586,55.16,4.5,mb,,154,1.388,1.13,us,us7000fv60,2021-11-18T17:49:25.661Z,"54 km S of Puerto San José, Guatemala",earthquake,3.6,9.5,0.04,183,reviewed,us,us
2021-11-18T16:56:56.993Z,13.5508,-90.8004,29.54,5.8,mww,,63,1.318,1.28,us,us7000fv5p,2021-11-19T17:30:28.741Z,"41 km S of Puerto San José, Guatemala",earthquake,7.7,3,0.04,60,reviewed,us,us
